Room,Day,Start_Time,End_Time,Status
008-Block3,Mon,13:15:00,14:05:00,Available
008-Block3,Tue,13:15:00,14:05:00,Available
008-Block3,Wed,12:25:00,13:15:00,Available
008-Block3,Thu,12:25:00,13:15:00,Available
008-Block3,Fri,12:25:00,13:15:00,Available
204-Block3,Mon,12:25:00,13:15:00,Available
204-Block3,Tue,12:25:00,13:15:00,Available
204-Block3,Wed,12:25:00,13:15:00,Available
204-Block3,Thu,13:15:00,14:05:00,Available
204-Block3,Fri,13:15:00,14:05:00,Available
205-Block3,Mon,09:00:00,09:50:00,Available
205-Block3,Mon,13:15:00,14:05:00,Available
205-Block3,Tue,13:15:00,14:05:00,Available
205-Block3,Wed,09:50:00,10:40:00,Available
205-Block3,Wed,13:15:00,14:05:00,Available
205-Block3,Thu,13:15:00,14:05:00,Available
205-Block3,Fri,13:15:00,14:05:00,Available
208A-Block3,Mon,12:25:00,13:15:00,Available
208A-Block3,Tue,11:35:00,12:25:00,Available
208A-Block3,Wed,12:25:00,13:15:00,Available
208A-Block3,Thu,12:25:00,14:10:00,Available
208A-Block3,Fri,12:25:00,13:15:00,Available
107A-Block3,Mon,13:15:00,14:05:00,Available
107A-Block3,Tue,11:35:00,13:15:00,Available
107A-Block3,Wed,12:25:00,13:15:00,Available
107A-Block3,Thu,13:15:00,15:50:00,Available
107A-Block3,Fri,09:00:00,09:50:00,Available
107A-Block3,Fri,13:15:00,14:05:00,Available
108A-Block3,Mon,12:25:00,13:15:00,Available
108A-Block3,Tue,11:35:00,13:15:00,Available
108A-Block3,Wed,13:15:00,14:10:00,Available
108A-Block3,Thu,13:15:00,14:10:00,Available
108A-Block3,Fri,12:25:00,13:15:00,Available
108B-Block3,Mon,12:25:00,13:15:00,Available
108B-Block3,Tue,12:25:00,13:15:00,Available
108B-Block3,Wed,12:25:00,13:15:00,Available
108B-Block3,Thu,13:15:00,14:10:00,Available
108B-Block3,Fri,09:50:00,10:40:00,Available
108B-Block3,Fri,13:15:00,14:10:00,Available
207A-Block3,Mon,10:40:00,11:30:00,Available
207A-Block3,Tue,11:35:00,13:15:00,Available
207A-Block3,Wed,11:35:00,13:15:00,Available
207A-Block3,Thu,10:40:00,13:15:00,Available
207A-Block3,Fri,11:35:00,12:25:00,Available
006A-Block3,Mon,14:10:00,15:00:00,Available
006A-Block3,Tue,12:25:00,13:15:00,Available
006A-Block3,Wed,10:40:00,11:30:00,Available
006A-Block3,Thu,13:15:00,14:10:00,Available
006A-Block3,Fri,14:10:00,15:00:00,Available
208B-Block3,Mon,12:25:00,13:15:00,Available
208B-Block3,Tue,12:25:00,13:15:00,Available
208B-Block3,Wed,13:15:00,14:10:00,Available
208B-Block3,Thu,13:15:00,14:10:00,Available
208B-Block3,Fri,09:50:00,10:40:00,Available
308A-Block3,Mon,12:25:00,13:15:00,Available
308A-Block3,Tue,12:25:00,13:15:00,Available
308A-Block3,Wed,12:25:00,13:15:00,Available
308A-Block3,Thu,12:25:00,13:15:00,Available
308A-Block3,Fri,12:25:00,14:10:00,Available
308B-Block3,Mon,12:25:00,13:15:00,Available
308B-Block3,Tue,12:25:00,13:15:00,Available
308B-Block3,Wed,12:25:00,13:15:00,Available
308B-Block3,Thu,12:25:00,13:15:00,Available
308B-Block3,Fri,12:25:00,13:15:00,Available
308C-Block3,Mon,10:40:00,11:30:00,Available
308C-Block3,Mon,12:25:00,13:15:00,Available
308C-Block3,Tue,12:25:00,13:15:00,Available
308C-Block3,Wed,12:25:00,13:15:00,Available
308C-Block3,Thu,12:25:00,13:15:00,Available
308C-Block3,Fri,12:25:00,13:15:00,Available
311A-Block3,Mon,12:25:00,13:15:00,Available
311A-Block3,Mon,14:10:00,15:00:00,Available
311A-Block3,Tue,12:25:00,13:15:00,Available
311A-Block3,Wed,12:25:00,13:15:00,Available
311A-Block3,Thu,12:25:00,14:10:00,Available
311A-Block3,Fri,12:25:00,13:15:00,Available
311B-Block3,Mon,12:25:00,13:15:00,Available
311B-Block3,Tue,12:25:00,13:15:00,Available
311B-Block3,Wed,09:00:00,09:50:00,Available
311B-Block3,Wed,12:25:00,13:15:00,Available
311B-Block3,Thu,12:25:00,13:15:00,Available
311B-Block3,Fri,12:25:00,13:15:00,Available
220-Block1,Mon,12:25:00,13:15:00,Available
220-Block1,Tue,12:25:00,13:15:00,Available
220-Block1,Wed,09:00:00,10:40:00,Available
220-Block1,Wed,11:35:00,15:00:00,Available
220-Block1,Wed,15:50:00,16:40:00,Available
220-Block1,Thu,09:00:00,13:15:00,Available
220-Block1,Thu,15:50:00,16:40:00,Available
220-Block1,Fri,11:35:00,13:15:00,Available
220-Block1,Fri,15:00:00,16:40:00,Available
109A-Block3,Mon,12:25:00,13:15:00,Available
109A-Block3,Tue,09:50:00,13:15:00,Available
109A-Block3,Wed,09:00:00,09:50:00,Available
109A-Block3,Wed,12:25:00,13:15:00,Available
109A-Block3,Wed,15:00:00,16:40:00,Available
109A-Block3,Thu,09:00:00,09:50:00,Available
109A-Block3,Thu,11:35:00,13:15:00,Available
109A-Block3,Thu,15:00:00,16:40:00,Available
109A-Block3,Fri,11:35:00,13:15:00,Available
109A-Block3,Fri,15:00:00,16:40:00,Available
009-Block3,Mon,09:00:00,09:50:00,Available
009-Block3,Mon,12:25:00,13:15:00,Available
009-Block3,Mon,14:10:00,15:00:00,Available
009-Block3,Tue,12:25:00,13:15:00,Available
009-Block3,Wed,09:00:00,10:40:00,Available
009-Block3,Wed,12:25:00,13:15:00,Available
009-Block3,Wed,14:10:00,16:40:00,Available
009-Block3,Thu,09:00:00,13:15:00,Available
009-Block3,Thu,15:00:00,15:50:00,Available
009-Block3,Fri,09:00:00,09:50:00,Available
009-Block3,Fri,11:35:00,14:05:00,Available
218A-Block1,Mon,12:25:00,13:15:00,Available
218A-Block1,Tue,11:35:00,13:15:00,Available
